Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Motherboards;Gigabyte;183;GIGABYTE S.1151 Z370 AORUS ULTRA GAMING DDR4 (USADO) ;;;51.712,99;10,50%;30,00%;40,00%;0,00;SI;80.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;182;GIGABYTE S.1151 Z390 GAMING X DDR4 (USADO) ;;;58.177,12;10,50%;30,00%;40,00%;0,00;SI;90.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;180;GIGABYTE S.1700 B760M GAMING WIFI DDR5 ;;;138,95;10,50%;30,00%;30,00%;0,00;SI;199,60;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;275;GIGABYTE S.1700 H610M-K M-ATX DDR4 ;;;74,85;10,50%;30,00%;30,00%;0,00;SI;107,52;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;325;GIGABYTE S.1700 Z690 GAMING X DDR4 (USADO) ;;;109.890,00;10,50%;30,00%;40,00%;0,00;SI;170.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;288;GIGABYTE S.1700 Z790 UD AC ATX DDR5 ;;;217,98;10,50%;30,00%;0,00%;0,00;SI;313,13;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;Gigabyte;328;NVIDIA GIGABYTE RTX 2070 SUPER GAMING OC 8GB GDDR6 (USADO) ;;;192.857,14;0,00%;30,00%;50,00%;0,00;SI;289.285,71;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;Gigabyte;230;NVIDIA GIGABYTE RTX 3080 TURBO 10GB GDDR6X (USADO) ;;;277.149,32;10,50%;30,00%;60,00%;0,00;SI;490.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Memorias;Hiksemi;286;RAM DDR4 16GB 3200MHZ HIKSEMI ARMOR PURPLE ;;;27,76;10,50%;30,00%;30,00%;0,00;SI;39,88;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Memorias;Hiksemi;276;RAM DDR4 8GB 3200MHZ HIKSEMI ARMOR BLACK ;;;15,72;10,50%;30,00%;30,00%;0,00;SI;22,58;u$s;4,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;280;SSD M.2 NVME 1TB HIKSEMI FUTURE ;;;62,19;10,50%;30,00%;30,00%;0,00;SI;89,34;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;245;SSD M.2 NVME 256GB HIKSEMI WAVE ;;;18,32;10,50%;30,00%;25,00%;0,00;SI;25,30;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;301;SSD M.2 NVME 512GB HIKSEMI WAVE ;;;31,40;10,50%;30,00%;30,00%;0,00;SI;45,11;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;243;SSD SATA 240GB HIKSEMI WAVE S ;;;16,59;10,50%;30,00%;25,00%;0,00;SI;22,91;u$s;6,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;262;SSD SATA 480GB HIKSEMI WAVE S ;;;26,28;10,50%;30,00%;30,00%;0,00;SI;37,76;u$s;3,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;244;SSD SATA 960GB HIKSEMI WAVE S ;;;48,00;10,50%;30,00%;25,00%;0,00;SI;66,30;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Conectividad;Hikvision;295;SWITCH 5P HIKVISION DS-3E0505-E GIGABIT DESKTOP ;;;13,51;10,50%;30,00%;25,00%;0,00;SI;18,66;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
